category_name	brand id	xsubject
Дезодоранты	8219	385
Шампуни	8219	358
Гели для ванн и душа	8219	363
Дезодоранты	5994	385
Шампуни	5994	358
Гели для ванн и душа	5994	363
Шампуни	8222	358
Шампуни	8222	4792
Шампуни сухие	8222	1661
Ополаскиватели для рта 	39450	440
Зубные пасты	39450	438
Дезодоранты	8223	385
Шампуни сухие	8223	1661
Шампуни	8223	358
Гели для ванн и душа	8223	363
Шампуни	811409	358
Дезодоранты	8220	385
Гели для ванн и душа	8220	363
Шампуни сухие	23945	1661
Шампуни	23945	358
Ополаскиватели для рта 	8233	440
Зубные пасты	8233	438
Шампуни	12146	358
Гели для ванн и душа	8227	363
Гели для ванн и душа	12146	363
Дезодоранты	8224	385
Шампуни	8224	358
Гели для ванн и душа	8224	363
Шампуни	23945	403
Гели для ванн и душа	8220	363
Дезодоранты	8220	403
Шампуни	811409	403
Гели для ванн и душа	5994	948
Шампуни	5994	403
Дезодоранты	8219	403
